title,author,publisher,description,new_this_week,weeks_on_list,isbn,image_url,scrape_date
KILLERS OF THE FLOWER MOON,David Grann,Doubleday,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",True,64.0,0385534248,https://storage.googleapis.com/du-prd/books/images/9780385534246.jpg,2019-01-22
LEADERSHIP,Doris Kearns Goodwin,Simon & Schuster,"The challenges that shaped the leadership abilities of four presidents: Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt and Lyndon B. Johnson.",True,17.0,1476795924,https://storage.googleapis.com/du-prd/books/images/9781476795928.jpg,2019-01-22
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,True,,0807047414,https://storage.googleapis.com/du-prd/books/images/9780807047415.jpg,2019-01-22
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,10.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-01-29
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,48.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-01-29
THE FIRST CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,The story of a secret plot to kill George Washington in 1776.,True,2.0,1250130336,https://storage.googleapis.com/du-prd/books/images/9781250130334.jpg,2019-01-29
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,56.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2019-01-29
FACTFULNESS,Hans Rosling with Ola Rosling and Anna Rosling Ronnlund,Flatiron,A look at our biases and the argument for why the world is in a better state than we might think.,True,13.0,1250107814,https://storage.googleapis.com/du-prd/books/images/9781250123817.jpg,2019-01-29
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,24.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2019-01-29
AI SUPERPOWERS,Kai-Fu Lee,Houghton Mifflin Harcourt,How artificial intelligence might affect blue-collar jobs and human history in the near future.,True,2.0,1328545865,https://storage.googleapis.com/du-prd/books/images/9781328545862.jpg,2019-01-29
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.,True,9.0,1476740186,https://storage.googleapis.com/du-prd/books/images/9781476740188.jpg,2019-01-29
WOMEN ROWING NORTH,Mary Pipher,Bloomsbury,"Reflections on the ageism, misogyny and loss that women might encounter as they grow older.",True,,1632869608,https://storage.googleapis.com/du-prd/books/images/9781632869609.jpg,2019-01-29
INHERITANCE,Dani Shapiro,Knopf,Secrets and identity in a fast-paced age of science and technology are explored through the story of a woman who discovered her biological father.,True,,1524732710,https://storage.googleapis.com/du-prd/books/images/9781524732714.jpg,2019-01-29
THE POINT OF IT ALL,"Charles Krauthammer, edited Daniel Krauthammer",Crown Forum,"A collection of essays, speeches and unpublished writings by the late conservative columnist.",True,7.0,1984825488,https://storage.googleapis.com/du-prd/books/images/9781984825483.jpg,2019-01-29
THE TRUTHS WE HOLD,Kamala Harris,Penguin Press,"A memoir by a daughter of immigrants who was raised in Oakland, Calif., and became the second black woman ever elected to the United States Senate.",True,2.0,0525560718,https://storage.googleapis.com/du-prd/books/images/9780525560715.jpg,2019-01-29
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,Spiegel & Grau,"Technological, political and social issues in the modern era, and the choices individuals might consider in facing them.",True,6.0,0525512179,https://storage.googleapis.com/du-prd/books/images/9780525512172.jpg,2019-01-29
